datetime,rec_id,season,year,month,hour,is_holiday,weekday,is_workingday,weather_condition,temp,atemp,humidity,windspeed,casual,registered,total_count
2011-01-01,1,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16
2011-01-01,2,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40
2011-01-01,3,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32
2011-01-01,4,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13
2011-01-01,5,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1
2011-01-01,6,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1
2011-01-01,7,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2
2011-01-01,8,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3
2011-01-01,9,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8
2011-01-01,10,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14
2011-01-01,11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36
2011-01-01,12,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56
2011-01-01,13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84
2011-01-01,14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94
2011-01-01,15,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106
2011-01-01,16,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110
2011-01-01,17,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93
2011-01-01,18,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67
2011-01-01,19,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35
2011-01-01,20,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37
2011-01-01,21,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36
2011-01-01,22,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.19399999999999998,3,31,34
2011-01-01,23,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28
2011-01-01,24,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39
2011-01-02,25,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17
2011-01-02,26,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17
2011-01-02,27,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9
2011-01-02,28,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,2,4,6
2011-01-02,29,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,2,1,3
2011-01-02,30,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2
2011-01-02,31,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.19399999999999998,0,1,1
2011-01-02,32,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8
2011-01-02,33,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20
2011-01-02,34,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53
